TIME,GEO,SEX,AGE,VALUE
2012,Finland,Total,From 25 to 29 years,345438
2013,Finland,Total,From 25 to 29 years,341295
2014,Finland,Total,From 25 to 29 years,339934
2015,Finland,Total,From 25 to 29 years,339565
2016,Finland,Total,From 25 to 29 years,342528
2017,Finland,Total,From 25 to 29 years,347839
2018,Finland,Total,From 25 to 29 years,354325
2019,Finland,Total,From 25 to 29 years,354872
2020,Finland,Total,From 25 to 29 years,355685
2021,Finland,Total,From 25 to 29 years,352990
2022,Finland,Total,From 25 to 29 years,349251
2023,Finland,Total,From 25 to 29 years,344950
2008,Sweden,Total,From 25 to 29 years,554452
2009,Sweden,Total,From 25 to 29 years,562889
2010,Sweden,Total,From 25 to 29 years,571759
2011,Sweden,Total,From 25 to 29 years,581923
2012,Sweden,Total,From 25 to 29 years,595136
2013,Sweden,Total,From 25 to 29 years,609060
2014,Sweden,Total,From 25 to 29 years,631255
2015,Sweden,Total,From 25 to 29 years,655755
2016,Sweden,Total,From 25 to 29 years,682413
2017,Sweden,Total,From 25 to 29 years,711687
2018,Sweden,Total,From 25 to 29 years,734003
2019,Sweden,Total,From 25 to 29 years,741322
2020,Sweden,Total,From 25 to 29 years,739696
2021,Sweden,Total,From 25 to 29 years,717759
2022,Sweden,Total,From 25 to 29 years,692315
2023,Sweden,Total,From 25 to 29 years,666652
2008,Iceland,Total,From 25 to 29 years,24667
2009,Iceland,Total,From 25 to 29 years,25278
2010,Iceland,Total,From 25 to 29 years,24105
2011,Iceland,Total,From 25 to 29 years,23200
2012,Iceland,Total,From 25 to 29 years,22493
2013,Iceland,Total,From 25 to 29 years,22260
2014,Iceland,Total,From 25 to 29 years,22751
2015,Iceland,Total,From 25 to 29 years,23234
2016,Iceland,Total,From 25 to 29 years,24370
2017,Iceland,Total,From 25 to 29 years,25701
2018,Iceland,Total,From 25 to 29 years,27931
2019,Iceland,Total,From 25 to 29 years,29571
2020,Iceland,Total,From 25 to 29 years,30567
2021,Iceland,Total,From 25 to 29 years,30221
2022,Iceland,Total,From 25 to 29 years,30501
2023,Iceland,Total,From 25 to 29 years,31291
2008,Liechtenstein,Total,From 25 to 29 years,2255
2009,Liechtenstein,Total,From 25 to 29 years,2240
2010,Liechtenstein,Total,From 25 to 29 years,2233
2011,Liechtenstein,Total,From 25 to 29 years,2224
2012,Liechtenstein,Total,From 25 to 29 years,2228
2013,Liechtenstein,Total,From 25 to 29 years,2216
2014,Liechtenstein,Total,From 25 to 29 years,2292
2015,Liechtenstein,Total,From 25 to 29 years,2290
2016,Liechtenstein,Total,From 25 to 29 years,2286
2017,Liechtenstein,Total,From 25 to 29 years,2287
2018,Liechtenstein,Total,From 25 to 29 years,2284
2019,Liechtenstein,Total,From 25 to 29 years,2317
2020,Liechtenstein,Total,From 25 to 29 years,2298
2021,Liechtenstein,Total,From 25 to 29 years,2330
2022,Liechtenstein,Total,From 25 to 29 years,2304
2023,Liechtenstein,Total,From 25 to 29 years,2348
2008,Norway,Total,From 25 to 29 years,296357
2009,Norway,Total,From 25 to 29 years,302584
2010,Norway,Total,From 25 to 29 years,307103
2014,Norway,Total,From 25 to 29 years,342078
2015,Norway,Total,From 25 to 29 years,353320
2016,Norway,Total,From 25 to 29 years,361839
2017,Norway,Total,From 25 to 29 years,367938
2018,Norway,Total,From 25 to 29 years,371575
2019,Norway,Total,From 25 to 29 years,371188
2020,Norway,Total,From 25 to 29 years,370923
2021,Norway,Total,From 25 to 29 years,366886
2022,Norway,Total,From 25 to 29 years,366673
2023,Norway,Total,From 25 to 29 years,368198
2008,Switzerland,Total,From 25 to 29 years,484159
2009,Switzerland,Total,From 25 to 29 years,497886
2010,Switzerland,Total,From 25 to 29 years,507179
2011,Switzerland,Total,From 25 to 29 years,521352
2012,Switzerland,Total,From 25 to 29 years,527804
2013,Switzerland,Total,From 25 to 29 years,532258
2014,Switzerland,Total,From 25 to 29 years,543207
2015,Switzerland,Total,From 25 to 29 years,551444
2016,Switzerland,Total,From 25 to 29 years,560587
2017,Switzerland,Total,From 25 to 29 years,568581
2018,Switzerland,Total,From 25 to 29 years,572817
2019,Switzerland,Total,From 25 to 29 years,569288
2020,Switzerland,Total,From 25 to 29 years,565847
2021,Switzerland,Total,From 25 to 29 years,559953
2022,Switzerland,Total,From 25 to 29 years,556130
2023,Switzerland,Total,From 25 to 29 years,555111
2008,United Kingdom,Total,From 25 to 29 years,4144376
2009,United Kingdom,Total,From 25 to 29 years,4226970
2010,United Kingdom,Total,From 25 to 29 years,4262304
2011,United Kingdom,Total,From 25 to 29 years,4296017
2012,United Kingdom,Total,From 25 to 29 years,4316186
2013,United Kingdom,Total,From 25 to 29 years,4334420
2014,United Kingdom,Total,From 25 to 29 years,4371570
2015,United Kingdom,Total,From 25 to 29 years,4416831
2016,United Kingdom,Total,From 25 to 29 years,4475943
2017,United Kingdom,Total,From 25 to 29 years,4526321
2018,United Kingdom,Total,From 25 to 29 years,4544698
2019,United Kingdom,Total,From 25 to 29 years,4527006
2008,Montenegro,Total,From 25 to 29 years,45172
2009,Montenegro,Total,From 25 to 29 years,45286
2010,Montenegro,Total,From 25 to 29 years,45328
2011,Montenegro,Total,From 25 to 29 years,45969
2012,Montenegro,Total,From 25 to 29 years,45874
2013,Montenegro,Total,From 25 to 29 years,45516
2014,Montenegro,Total,From 25 to 29 years,44891
2015,Montenegro,Total,From 25 to 29 years,43645
2016,Montenegro,Total,From 25 to 29 years,42226
2017,Montenegro,Total,From 25 to 29 years,40985
2018,Montenegro,Total,From 25 to 29 years,40003
2019,Montenegro,Total,From 25 to 29 years,39240
2020,Montenegro,Total,From 25 to 29 years,39210
2021,Montenegro,Total,From 25 to 29 years,39524
2022,Montenegro,Total,From 25 to 29 years,39594
2023,Montenegro,Total,From 25 to 29 years,39042
2008,Moldova,Total,From 25 to 29 years,296669
2009,Moldova,Total,From 25 to 29 years,305936
2010,Moldova,Total,From 25 to 29 years,315855
2011,Moldova,Total,From 25 to 29 years,325872
2012,Moldova,Total,From 25 to 29 years,336905
2013,Moldova,Total,From 25 to 29 years,350072
2014,Moldova,Total,From 25 to 29 years,356077
2015,Moldova,Total,From 25 to 29 years,355502
2017,Moldova,Total,From 25 to 29 years,339376
2008,North Macedonia,Total,From 25 to 29 years,161572
2009,North Macedonia,Total,From 25 to 29 years,163076
2010,North Macedonia,Total,From 25 to 29 years,164108
2011,North Macedonia,Total,From 25 to 29 years,164733
2012,North Macedonia,Total,From 25 to 29 years,164435
2013,North Macedonia,Total,From 25 to 29 years,164314
2014,North Macedonia,Total,From 25 to 29 years,164394
2015,North Macedonia,Total,From 25 to 29 years,162874
2016,North Macedonia,Total,From 25 to 29 years,161173
2017,North Macedonia,Total,From 25 to 29 years,160662
2018,North Macedonia,Total,From 25 to 29 years,158524
2019,North Macedonia,Total,From 25 to 29 years,155266
2020,North Macedonia,Total,From 25 to 29 years,153483
2021,North Macedonia,Total,From 25 to 29 years,150388
2022,North Macedonia,Total,From 25 to 29 years,116515
2008,Georgia,Total,From 25 to 29 years,330891
2009,Georgia,Total,From 25 to 29 years,333430
2010,Georgia,Total,From 25 to 29 years,342566
2011,Georgia,Total,From 25 to 29 years,352027
2012,Georgia,Total,From 25 to 29 years,359341
2014,Georgia,Total,From 25 to 29 years,360098
2015,Georgia,Total,From 25 to 29 years,298100
2016,Georgia,Total,From 25 to 29 years,278900
2017,Georgia,Total,From 25 to 29 years,278300
2018,Georgia,Total,From 25 to 29 years,273295
2019,Georgia,Total,From 25 to 29 years,262452
2020,Georgia,Total,From 25 to 29 years,249108
2008,Albania,Total,From 25 to 29 years,185682
2009,Albania,Total,From 25 to 29 years,187358
2010,Albania,Total,From 25 to 29 years,192869
2011,Albania,Total,From 25 to 29 years,200418
2012,Albania,Total,From 25 to 29 years,205479
2013,Albania,Total,From 25 to 29 years,210862
2014,Albania,Total,From 25 to 29 years,214144
2015,Albania,Total,From 25 to 29 years,217850
2016,Albania,Total,From 25 to 29 years,224705
2017,Albania,Total,From 25 to 29 years,230218
2018,Albania,Total,From 25 to 29 years,234063
2019,Albania,Total,From 25 to 29 years,237378
2020,Albania,Total,From 25 to 29 years,237607
2021,Albania,Total,From 25 to 29 years,235197
2022,Albania,Total,From 25 to 29 years,228892
2023,Albania,Total,From 25 to 29 years,219572
2008,Serbia,Total,From 25 to 29 years,512109
2009,Serbia,Total,From 25 to 29 years,511269
2010,Serbia,Total,From 25 to 29 years,511938
2011,Serbia,Total,From 25 to 29 years,488580
2012,Serbia,Total,From 25 to 29 years,483023
2013,Serbia,Total,From 25 to 29 years,477394
2014,Serbia,Total,From 25 to 29 years,469933
2015,Serbia,Total,From 25 to 29 years,457556
2016,Serbia,Total,From 25 to 29 years,448646
2017,Serbia,Total,From 25 to 29 years,442158
2018,Serbia,Total,From 25 to 29 years,432088
2019,Serbia,Total,From 25 to 29 years,423074
2020,Serbia,Total,From 25 to 29 years,417333
2021,Serbia,Total,From 25 to 29 years,412383
2022,Serbia,Total,From 25 to 29 years,402987
2023,Serbia,Total,From 25 to 29 years,370730
2008,Türkiye,Total,From 25 to 29 years,6512838
2009,Türkiye,Total,From 25 to 29 years,6518837
2010,Türkiye,Total,From 25 to 29 years,6508860
2011,Türkiye,Total,From 25 to 29 years,6437922
2012,Türkiye,Total,From 25 to 29 years,6306233
2013,Türkiye,Total,From 25 to 29 years,6270678
2014,Türkiye,Total,From 25 to 29 years,6286332
2015,Türkiye,Total,From 25 to 29 years,6273202
2016,Türkiye,Total,From 25 to 29 years,6263249
2017,Türkiye,Total,From 25 to 29 years,6246041
2018,Türkiye,Total,From 25 to 29 years,6231542
2019,Türkiye,Total,From 25 to 29 years,6276469
2020,Türkiye,Total,From 25 to 29 years,6367311
2021,Türkiye,Total,From 25 to 29 years,6370954
2022,Türkiye,Total,From 25 to 29 years,6476899
2023,Türkiye,Total,From 25 to 29 years,6553169
2008,Ukraine,Total,From 25 to 29 years,3514462
2009,Ukraine,Total,From 25 to 29 years,3626587
2010,Ukraine,Total,From 25 to 29 years,3723728
2011,Ukraine,Total,From 25 to 29 years,3766372
2012,Ukraine,Total,From 25 to 29 years,3847761
2013,Ukraine,Total,From 25 to 29 years,3868992
2014,Ukraine,Total,From 25 to 29 years,3792084
2015,Ukraine,Total,From 25 to 29 years,3487164
2016,Ukraine,Total,From 25 to 29 years,3374686
2017,Ukraine,Total,From 25 to 29 years,3212459
2018,Ukraine,Total,From 25 to 29 years,3055950
2019,Ukraine,Total,From 25 to 29 years,2886099
2020,Ukraine,Total,From 25 to 29 years,2728630
2021,Ukraine,Total,From 25 to 29 years,2579808
2022,Ukraine,Total,From 25 to 29 years,2443866
2016,Kosovo*,Total,From 25 to 29 years,146310
2017,Kosovo*,Total,From 25 to 29 years,143644
2018,Kosovo*,Total,From 25 to 29 years,144850
2019,Kosovo*,Total,From 25 to 29 years,143229
2020,Kosovo*,Total,From 25 to 29 years,139857
2008,Andorra,Total,From 25 to 29 years,7029
2009,Andorra,Total,From 25 to 29 years,6873
2010,Andorra,Total,From 25 to 29 years,6299
2011,Andorra,Total,From 25 to 29 years,5306
2012,Andorra,Total,From 25 to 29 years,5306
2013,Andorra,Total,From 25 to 29 years,4771
2019,Andorra,Total,From 25 to 29 years,4570
2008,Belarus,Total,From 25 to 29 years,755736
2009,Belarus,Total,From 25 to 29 years,781718
2011,Belarus,Total,From 25 to 29 years,761034
2012,Belarus,Total,From 25 to 29 years,776658
2013,Belarus,Total,From 25 to 29 years,784095
2014,Belarus,Total,From 25 to 29 years,781505
2015,Belarus,Total,From 25 to 29 years,775281
2016,Belarus,Total,From 25 to 29 years,762867
2017,Belarus,Total,From 25 to 29 years,737917
2018,Belarus,Total,From 25 to 29 years,713641
2019,Belarus,Total,From 25 to 29 years,674854
2008,Russia,Total,From 25 to 29 years,11475294
2009,Russia,Total,From 25 to 29 years,11892997
2010,Russia,Total,From 25 to 29 years,12257349
2011,Russia,Total,From 25 to 29 years,11982085
2014,Russia,Total,From 25 to 29 years,12522470
2012,San Marino,Total,From 25 to 29 years,1688
2013,San Marino,Total,From 25 to 29 years,1670
2018,San Marino,Total,From 25 to 29 years,1638
2020,San Marino,Total,From 25 to 29 years,1635
2008,Armenia,Total,From 25 to 29 years,273571
2009,Armenia,Total,From 25 to 29 years,282334
2010,Armenia,Total,From 25 to 29 years,291871
2014,Armenia,Total,From 25 to 29 years,278079
2015,Armenia,Total,From 25 to 29 years,276579
2016,Armenia,Total,From 25 to 29 years,276860
2017,Armenia,Total,From 25 to 29 years,273419
2018,Armenia,Total,From 25 to 29 years,264677
2019,Armenia,Total,From 25 to 29 years,251883
2020,Armenia,Total,From 25 to 29 years,235589
2008,Azerbaijan,Total,From 25 to 29 years,724000
2009,Azerbaijan,Total,From 25 to 29 years,762400
2010,Azerbaijan,Total,From 25 to 29 years,819979
2011,Azerbaijan,Total,From 25 to 29 years,843145
2012,Azerbaijan,Total,From 25 to 29 years,873093
2013,Azerbaijan,Total,From 25 to 29 years,898238
2014,Azerbaijan,Total,From 25 to 29 years,923572
2015,Azerbaijan,Total,From 25 to 29 years,936763
2016,Azerbaijan,Total,From 25 to 29 years,943591
2017,Azerbaijan,Total,From 25 to 29 years,941928
2018,Azerbaijan,Total,From 25 to 29 years,934198
2019,Azerbaijan,Total,From 25 to 29 years,916877
2020,Azerbaijan,Total,From 25 to 29 years,899404
2008,Belgium,Males,From 25 to 29 years,343935
2009,Belgium,Males,From 25 to 29 years,346023
2010,Belgium,Males,From 25 to 29 years,345261
2011,Belgium,Males,From 25 to 29 years,351045
2012,Belgium,Males,From 25 to 29 years,351170
2013,Belgium,Males,From 25 to 29 years,352459
2014,Belgium,Males,From 25 to 29 years,354157
2015,Belgium,Males,From 25 to 29 years,357776
2016,Belgium,Males,From 25 to 29 years,366995
2017,Belgium,Males,From 25 to 29 years,370223
2018,Belgium,Males,From 25 to 29 years,373749
2019,Belgium,Males,From 25 to 29 years,374924
2020,Belgium,Males,From 25 to 29 years,374710
2021,Belgium,Males,From 25 to 29 years,371463
2022,Belgium,Males,From 25 to 29 years,368871
2023,Belgium,Males,From 25 to 29 years,370468
2008,Bulgaria,Males,From 25 to 29 years,269271
2009,Bulgaria,Males,From 25 to 29 years,263961
2010,Bulgaria,Males,From 25 to 29 years,258748
2011,Bulgaria,Males,From 25 to 29 years,255737
2012,Bulgaria,Males,From 25 to 29 years,254638
2013,Bulgaria,Males,From 25 to 29 years,241539
2014,Bulgaria,Males,From 25 to 29 years,236677
2015,Bulgaria,Males,From 25 to 29 years,230863
2016,Bulgaria,Males,From 25 to 29 years,225267
2017,Bulgaria,Males,From 25 to 29 years,215235
2018,Bulgaria,Males,From 25 to 29 years,203327
2019,Bulgaria,Males,From 25 to 29 years,190411
2020,Bulgaria,Males,From 25 to 29 years,175558
2021,Bulgaria,Males,From 25 to 29 years,163767
2022,Bulgaria,Males,From 25 to 29 years,151818
2023,Bulgaria,Males,From 25 to 29 years,144284
2008,Czechia,Males,From 25 to 29 years,409332
2009,Czechia,Males,From 25 to 29 years,397961
2010,Czechia,Males,From 25 to 29 years,383531
2011,Czechia,Males,From 25 to 29 years,374782
2012,Czechia,Males,From 25 to 29 years,371423
2013,Czechia,Males,From 25 to 29 years,366360
2014,Czechia,Males,From 25 to 29 years,361884
2015,Czechia,Males,From 25 to 29 years,357001
2016,Czechia,Males,From 25 to 29 years,352844
2017,Czechia,Males,From 25 to 29 years,350383
2018,Czechia,Males,From 25 to 29 years,346641
2019,Czechia,Males,From 25 to 29 years,343440
2020,Czechia,Males,From 25 to 29 years,335806
2021,Czechia,Males,From 25 to 29 years,311542
2022,Czechia,Males,From 25 to 29 years,296248
2023,Czechia,Males,From 25 to 29 years,291220
2008,Denmark,Males,From 25 to 29 years,160378
2009,Denmark,Males,From 25 to 29 years,158214
2010,Denmark,Males,From 25 to 29 years,155957
2011,Denmark,Males,From 25 to 29 years,156548
2012,Denmark,Males,From 25 to 29 years,159427
2013,Denmark,Males,From 25 to 29 years,162747
2014,Denmark,Males,From 25 to 29 years,169199
2015,Denmark,Males,From 25 to 29 years,176161
2016,Denmark,Males,From 25 to 29 years,184872
2017,Denmark,Males,From 25 to 29 years,190982
2018,Denmark,Males,From 25 to 29 years,197346
2019,Denmark,Males,From 25 to 29 years,201431
2020,Denmark,Males,From 25 to 29 years,204408
2021,Denmark,Males,From 25 to 29 years,205404
2022,Denmark,Males,From 25 to 29 years,207455
2023,Denmark,Males,From 25 to 29 years,208810
2008,Germany,Males,From 25 to 29 years,2518610
2009,Germany,Males,From 25 to 29 years,2523056
2010,Germany,Males,From 25 to 29 years,2522868
2011,Germany,Males,From 25 to 29 years,2430244
2012,Germany,Males,From 25 to 29 years,2461861
2013,Germany,Males,From 25 to 29 years,2506631
2014,Germany,Males,From 25 to 29 years,2579372
2015,Germany,Males,From 25 to 29 years,2652021
2016,Germany,Males,From 25 to 29 years,2798715
2017,Germany,Males,From 25 to 29 years,2787105
2018,Germany,Males,From 25 to 29 years,2749822
2019,Germany,Males,From 25 to 29 years,2695936
2020,Germany,Males,From 25 to 29 years,2635982
2021,Germany,Males,From 25 to 29 years,2552806
2022,Germany,Males,From 25 to 29 years,2545675
2023,Germany,Males,From 25 to 29 years,2614249
2008,Estonia,Males,From 25 to 29 years,48050
2009,Estonia,Males,From 25 to 29 years,48640
2010,Estonia,Males,From 25 to 29 years,49040
2011,Estonia,Males,From 25 to 29 years,49040
2012,Estonia,Males,From 25 to 29 years,49078
2013,Estonia,Males,From 25 to 29 years,49840
2014,Estonia,Males,From 25 to 29 years,50299
2015,Estonia,Males,From 25 to 29 years,51382
2016,Estonia,Males,From 25 to 29 years,51769
2017,Estonia,Males,From 25 to 29 years,50529
2018,Estonia,Males,From 25 to 29 years,48834
2019,Estonia,Males,From 25 to 29 years,46208
2020,Estonia,Males,From 25 to 29 years,42724
2021,Estonia,Males,From 25 to 29 years,39455
2022,Estonia,Males,From 25 to 29 years,37704
2023,Estonia,Males,From 25 to 29 years,36650
2008,Ireland,Males,From 25 to 29 years,204090
2009,Ireland,Males,From 25 to 29 years,199926
2010,Ireland,Males,From 25 to 29 years,191173
2011,Ireland,Males,From 25 to 29 years,180676
2012,Ireland,Males,From 25 to 29 years,166364
2013,Ireland,Males,From 25 to 29 years,156853
2014,Ireland,Males,From 25 to 29 years,148881
2015,Ireland,Males,From 25 to 29 years,144504
2016,Ireland,Males,From 25 to 29 years,144916
2017,Ireland,Males,From 25 to 29 years,144336
2018,Ireland,Males,From 25 to 29 years,144229
2019,Ireland,Males,From 25 to 29 years,145083
2020,Ireland,Males,From 25 to 29 years,146029
2021,Ireland,Males,From 25 to 29 years,146911
2022,Ireland,Males,From 25 to 29 years,149135
2023,Ireland,Males,From 25 to 29 years,154959
2008,Greece,Males,From 25 to 29 years,437876
